,frase,tweet_anotado,tweet_similar,similaridad
0,no quiero vivir,día sin tomar coca ya no quiero vivir,ya no quiero vivir más,0.6324555320336758
1,no quiero vivir,día sin tomar coca ya no quiero vivir,ya no quiero vivir,0.7071067811865475
2,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir más señor diosito,0.6289709020331509
3,no quiero vivir,es que no puedo vivir y ya no quiero vivir,puedo vivir sin ti pero no quiero,0.628970902033151
4,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir más,0.7442084075352507
5,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no te dire qué no puedo vivir sin ti porque si puedo si puedo si puedo sencillamente es que no quiero,0.6201736729460424
6,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no era desfibrilador lpm ya no quiero vivir en esta época no entiendo nada,0.6201736729460423
7,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir,0.8320502943378438
8,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no me molesta vivir sola es algo que amo pero odio tener que pensar en el almuerzo o la cena no quiero vivir sol,0.6180314431495257
9,no quiero vivir,es que no puedo vivir y ya no quiero vivir,sé que puedo vivir sin ella pero sencillamente es que no quiero hacerlo,0.6445033866354896
10,no quiero vivir,es que no puedo vivir y ya no quiero vivir,ya no quiero vivir en mi casa,0.6289709020331509
11,no quiero vivir,es que no puedo vivir y ya no quiero vivir,que pereza combinar no quiero vivir,0.6793662204867574
12,no quiero vivir,es que no puedo vivir y ya no quiero vivir,no quiero ver que vengas a vivir después,0.6289709020331509
13,no quiero vivir mas,sinceramente no quiero vivir más en esta vida de mierda,situación de mierda que no quiero volver a vivir nunca más en mi vida,0.7016464154456235
14,no quiero vivir mas,sinceramente no quiero vivir más en esta vida de mierda,no quiero vivir más en esta casa,0.7171371656006362
15,no quiero vivir mas,sinceramente no quiero vivir más en esta vida de mierda,no quiero vivir más en esta ciudad de mierda,0.8432740427115679
16,no quiero vivir mas,okay se terminó no quiero vivir más,ojalá no quiero vivir más,0.6761234037828132
17,no soporto mas,no soporto más este dolorrrr,no lo soporto más,0.6708203932499369
18,no soporto mas,no soporto más este dolorrrr,no soporto más este clima del orto,0.6761234037828132
19,no soporto mas,no soporto más este dolorrrr,no soporto más lpm,0.6708203932499369
20,no soporto mas,no soporto más este dolorrrr,no soporto más este dolor de rodilla lpm,0.6324555320336758
21,no soporto mas,no soporto más este dolorrrr,no soporto un día más en este criadero de hampones y trafugas no soporto más este medio de transporte mediocre la,0.6531972647421808
22,no vale la pena seguir viviendo,quiero que mi vida sane sentir que vale la pena seguir viviendo que no voy por el mundo sin rumbo alguno,creo que no vale la pena seguir viviendo,0.6123724356957945
23,no vale la pena seguir viviendo,quiero que mi vida sane sentir que vale la pena seguir viviendo que no voy por el mundo sin rumbo alguno,vale la pena seguir viviendo vale la pena ir horas a sufrir por que me ven como el malo por que son asi es que no en,0.6390096504226939
24,no vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,creo que no vale la pena seguir viviendo,0.6390096504226936
25,no vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,no se si vale la pena seguir viviendo,0.7302967433402213
26,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,quiero que mi vida sane sentir que vale la pena seguir viviendo que no voy por el mundo sin rumbo alguno,0.6123724356957945
27,no vale la pena seguir viviendo,creo que no vale la pena seguir viviendo,ln no vale la pena seguir viviendo si así va a ser la vida,0.6390096504226936
