,frase,tweet_anotado,tweet_similar,similaridad
0,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,estoy cansado de estar cansado estoy cansado de vivir verbalizando todo lo que me parece mal de expresar todo lo,0.704181818157595
1,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,estoy cansado de estar tan solo,0.628828145522532
2,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,poo cansado de estar solo,0.626224291085149
3,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,voy a dejar de aparecer estoy cansado de estar solo para la gente,0.636209010280352
4,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,cansado de estar solo,0.700140042014005
5,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,cansado de estar sólo,0.700140042014005
6,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,estoy cansado de estar solo,0.688846720193664
7,cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,estás bien solo estoy cansado cansado de intentar cansado de esperar cansado de respirar cansado de estar triste cansado de todo,0.864149894430467
8,dormir y nunca mas despertar,dormir y desear nunca más despertar,ganas de dormir y no despertar nunca más,0.676123403782813
9,dormir y nunca mas despertar,dormir y desear nunca más despertar,necesito dormir y no despertar nunca más,0.730296743340221
10,dormir y nunca mas despertar,dormir y desear nunca más despertar,aveces deseo dormir y ya no despertar nunca más,0.632455532033676
11,dormir y nunca mas despertar,dormir y desear nunca más despertar,que ganas de dormir y no despertar nunca más,0.632455532033676
12,dormir y nunca mas despertar,dormir y desear nunca más despertar,dormir y nunca más despertar,0.894427190999916
13,dormir y nunca mas despertar,dormir y desear nunca más despertar,quiero dormir y nunca más despertar,0.8
14,dormir y nunca mas despertar,dormir y desear nunca más despertar,unas ganas de dormir y no despertar nunca más,0.632455532033676
15,dormir y nunca mas despertar,dormir y desear nunca más despertar,esa cara de necesito dormir y nunca más despertar,0.632455532033676
16,dormir y nunca mas despertar,dormir y desear nunca más despertar,hermosa noche para dormir y no despertar nunca más,0.632455532033676
17,dormir y nunca mas despertar,dormir y desear nunca más despertar,quisiera dormir y no despertar nunca más,0.730296743340221
18,dormir y nunca mas despertar,dormir y desear nunca más despertar,solo quiero llorar dormir y no despertar nunca más,0.632455532033676
19,dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,dormir y nunca más despertar,0.670820393249937
20,dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,deseo tanto acostarme a dormir y nunca mas despertar,0.676123403782813
21,dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,solo quiero dormir y despertar nunca mas,0.730296743340221
22,dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,es normal querer dormir y nunca mas despertar,0.676123403782813
23,dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,que ganas de dormir y no despertar nunca mas,0.632455532033676
24,dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,unas ganas de dormir y no despertar nunca mas,0.632455532033676
25,dormir y nunca mas despertar,me cansé de todo no tengo ganas ni de ir al baño quiero dormir y no despertar nunca más lpm,ganas de dormir y no despertar nunca más,0.709299365615191
