,tweet_clean
0,me estoy ahogando en la tristeza
1,quiero un besito y no existir
2,no valgo nada para ti
3,despues de escuchar a hernan la vida no tiene sentido nada tiene sentido hasta que lo volves a ver
4,creo que nadie está listo para morir
5,sin ti la vida no tiene sentido vuelve mi cielo
6,me estoy ahogando en bordados
7,me quiero morir un rato
8,hermosa noche para dormir y no despertar nunca más
9,ya la vida aquí no tiene sentido
10,no tengo autocontrol y me odio a mi mismo bojack horsman
11,milipili me quiero morir
12,romero no tiene más sentido vuestra vida que estar pendiente a la mía
13,me hice un pap y me quiero morir
14,no me quiero dormir porque no me quiero despertar juas
15,si yo seré gwen quiero estar muerto
16,ya ni me digas me odio a mi mismo
17,el dia de hoy no quiero existir
18,son gente que no tiene sentido en la vida
19,jakdkahdjsjsa me estoy ahogando
20,no quiero estar más aquí
21,y al final nos cagamos muriendo todos no que sentido tiene la vida si no la vivimos día día
22,nota volví a dejar todo a último momento y estoy pensando seriamente en el suicidio gracias profe boggio
23,parece que no valgo nada
24,criminal lo siento me odio a mi mismo
25,no quiero ver que vengas a vivir después
26,me estoy ahogando en un cuchara
27,y es q desde q no estas para mi la vida no tiene sentido
28,buenos días me quiero morir
29,me siento muy mal quiero morir uj ratito
30,no vales para eso nerea sertal no valgo para nada
31,si me besan esos labios ay así quiero morir
32,hoy no quiero existir pero ese iphone no se va a pagar solo
33,la perra vida se ha encargado de hacerme saber que no vale la pena seguir viviendo pero namjoon me hace ver que si
34,me estoy ahogando jsjsjjss
35,sabes que la vida no tiene sentido cuando te enteras que stairway to heaven de led zeppelin es un puto plagio
36,más orrible aún es salir a correr o ir al gym sin audífonos sientes que la vida no tiene sentido
37,que ganas de dormir y ya no despertar nunca más
38,me niego odio hablar en gallego no me entiendo ni a mi mismo
39,me quiero largar no quiero estar aquí
40,yo solo quiero desaparecer
41,mi vida sin ti no tiene sentido mi amor te amo
42,llegaron todos me quiero morir
43,no quiero existir hoy solo quiero dormir
44,knightx me estoy ahogando aiuda
45,que pereza combinar no quiero vivir
46,el mexiquense promedio pasa el de su vida en la méxicopachuca pensando en el suicidio
47,maaaaaaal no te pusiste a pensar que la vida no tiene sentido acelera
48,listo para morir en cálculo amigos
49,ya no quiero existir mas
50,aaa no no quiero existir
51,ayuda me estoy ahogando
52,me estoy ahogando literalmente
53,me estoy ahogando jajajjaa
54,no era desfibrilador lpm ya no quiero vivir en esta época no entiendo nada
55,quiero desaparecer q vergüenza
56,dejar de ver perfiles que no tiene sentido de la vida
57,ferrari quiero desaparecer
58,deja de hacerme daño
59,pensando en el suicidio nuevafotodeperfil
60,mi último rt me dio una idea y ahora me odio a mí mismo
61,volví a dejar todo a último momento y estoy pensando seriamente en el suicidio gracias profe boggio
62,cumple añitos me quiero morir
63,nunca habia estado peor no quiero existir más
64,últimamente no quiero ni existir
65,me estoy ahogando anabel
66,me estoy ahogando en esta penaaaaaa
67,bast unas ganas de dormir y no despertar nunca mas
68,solo quiero desaparecer de esta vida de mierda
69,quiero estar muerto
70,los lunes de verdad no quiero existir
71,puedo vivir sin ti pero no quiero
72,de verdad quiero desaparecer unos días
73,después de ver me odio a mi mismo soy un terrorista por usar telegram por ser catalán por respirar y q
74,me duele la garganta listo para morir
75,por favor que me estoy ahogando
76,chuela netflix quito bob esponja la vida ya no tiene sentido para mi
77,entre broma y broma la verdad si estoy pensando seriamente en el suicidio
78,para mi la vida no tiene sentido si no estas aaaa aaa taehyung
79,ajajjdjajsjsjzjs me estoy ahogando
80,quiero desaparecer estoy muy harta de todo
81,de noviembre no quiero saber nada de nadie no quiero hacer nada solo existir
82,no valgo nada para nadie man que feo
83,folana me estoy ahogando
84,estoy a nada de matarme ayudaaaaa
85,bueno termine la tarea de literatura y ahora solo quiero dormir para no despertar nunca más jaja
86,todavia ni entro al trabajo y ya me odio a mi mismo otra vez
87,ya no quiero vivir más señor diosito
88,me estoy ahogando muy seguido
89,a veces me odio a mi mismo
90,no quiero ni estornudar para no despertar a mi perrito á
91,pues yo me quiero morir
92,quiero no existir
93,tengo como mensajes en cada grupo de la u y lo único que realmente quiero es desaparecer por lo que queda del cuatrimestre
94,delatomo quiero ser pan d muerto para estar rico y muerto
95,quiero llorar quiero desaparecer
96,soy una llorica me quiero morir
97,ahora sí quiero desaparecer
98,real que me estoy ahogando
99,ojalá dormir y nunca mas despertar
100,lollapaloozapasaenlos necesito ver a lana si no q sentido tiene mi vida
101,jajajajakajajaaa me estoy ahogando
102,si georgie murió mi vida no tiene sentido
103,noooo por favor por que para mi la vida no tiene sentido si tú no estás
104,quiero estar muerto solo eso
105,ivana no quiero existir mañana
106,me estoy ahogando jajajahsjsjdh
107,me odio a mi mismo por pensarte demasiado
108,mí único deseo es acostarme a dormir y no despertar nunca mas
109,ya no quiero despertar llorando
110,odio a al gente normie aunque decir eso es súper normie así que si me odio a mi mismo en realidad no me odio a mi mismo ja mentira
111,yo de mayor quiero ser como nujabes para estar muerto
112,estoy listo para morir inge califique mi trabajo
113,lucarelli quiero desaparecer
114,me estoy ahogando no no me estoy ahogandose
115,si ya no está orgullo y prejuicio en netflix que sentido tiene la vida
116,odio esta sensación me quiero morir
117,me odio a mí mismo
118,angel y yo hablando del universo y que la vida no tiene sentido
119,para mí la vida no tiene sentido si te vaaasssssssssssss
120,hoy sí quiero desaparecer
121,me estoy ahogando con el aire
122,la vida siempre es cuestionable incluso si creemos que la vida no tiene sentido el sentido se lo damos nos
123,jajajajajajajajajajajajajajajajajajajajajaja maldita sea me estoy ahogando
124,tampoco me odio tanto a mí mismo
125,para dormir largo sueño político y no despertar nunca más ponele
126,yo pensando en paraguay y en el medio tengo el ingreso jajsja suicidio
127,definitivamente me quiero morir
128,yo me quiero morir no aguanto mas estar aqui asesinamee
129,no quiero estar aquí si no puedo estar contigo
130,ahora si q me quiero morir
131,estoy entre a matarme b matarme y suicidarme
132,quiero desaparecer de esta casa
133,la vida no tiene sentido la verdad hasta ahora no lo entendía pero hace poco me di cuenta que la vida es un carame
134,además me duele la panza chau me quiero morir
135,no quiero vivir más en esta casa
136,quiero no existir mas se puede
137,ya no quiero vivir en mi casa
138,que ganas de dormir y no despertar nunca mas
139,no me soporto me quiero morir odio ser yo
140,estoy para suicidarme
141,que verga sentirse que no valgo nada
142,sugeyabrego si pasara créeme estaría listo para morir
143,solo quiero gelato y estar muerto
144,me estoy ahogando otdirectooct
145,cr me estoy ahogando en mi mocos y no en tus besos
146,hay días q no quiero ni existir
147,me estoy ahogando disculpas
148,no soporto más este dolor de rodilla lpm
149,mi vida no tiene sentido si te vas
150,quiero dormir y no despertar hasta mañana a medio día
151,tengo ganas de matarme jjajaajajajajsjajs siempre
152,lo que no tiene sentido es trabajar y lo peor es que se pierde casi toda la vida en ello
153,si me quieres de verdad deja de hacerme daño
154,me estoy ahogando con mocos
155,me quiero morir mi mala suerte no es normal
156,como me quiero ir a dormir y no despertar más
157,que ganas de matarme
158,no te dire qué no puedo vivir sin ti porque si puedo si puedo si puedo sencillamente es que no quiero
159,es normal querer dormir y nunca mas despertar
160,es que no valgo para nada en fin
161,sin música la vida no tiene sentido
162,lo que quiero es desaparecer
163,deseo tanto acostarme a dormir y nunca mas despertar
164,la mi vida ya no tiene sentido
165,quién está listo para morir hs
166,a veces no me quiero dormir solo porque no me quiero despertar
167,me quiero morir chicos
168,el clima está como para dormir y no despertar nunca más alv
169,lavadoras hachas me estoy ahogando
170,lo que subi a mj no tiene perdón adiós no quiero existir más
171,estoy cansado de estar tan solo
172,lo peor que puedes hacer es creer que una la vida no tiene sentido a causa de una persona que no vale la pena triana
173,de verdad que quiero puro desaparecer
174,tengo ganas de matarme lol
175,me cansé de todo no tengo ganas ni de ir al baño quiero dormir y no despertar nunca más lpm
176,no quiero estar aquí
177,no se si vale la pena seguir viviendo
178,últimamente siento que la vida no tiene ningún sentido
179,jajajajajajajaja me estoy ahogando
180,odio mucho mi vida
181,hoy si que no quiero existir
182,mas vale que este listo para morir muyvalido
183,que ganas de irme a dormir y no despertar nunca más
184,algunas veces solo quiero desaparecer
185,yo la vida a veces no parece real es como una simulación gente eso no tiene sentido claro que es real el
186,nunca estás listo para vivir realmente hasta que estás listo para morir y nunca estás listo para morir hasta que h
187,opino que la vida humana no tiene sentido debido a la muerte y que no se puede racionalizar la experiencia persona
188,ya no quiero despertar quiero estar inconsciente aunque no haya voluntad brindemos por estar acá
189,porfa ya no quiero existir no pueden obligarme
190,no lo haré unas pastillitas para morir y listo
191,aveces deseo dormir y ya no despertar nunca más
192,me levanté temprano al pedo me quiero morir
193,hoy simplemente no quiero existir
194,perdi mi cuadernillo de análisis matemático y estoy pensando en el suicidio
195,no me molesta vivir sola es algo que amo pero odio tener que pensar en el almuerzo o la cena no quiero vivir sol
196,cuando la vida ya no tiene sentido
197,no estoy listo para volver a ver a marley morir
198,la vida no tiene sentido si no me da bola
199,me estoy ahogando que se hace
200,sé que puedo vivir sin ella pero sencillamente es que no quiero hacerlo
201,vuelve q la vida sin ti no tiene sentido
202,ya no se que a quien rezarle no me escuchan ya no quiero estar aquí
203,otra vez me dio temperatura y no quiero despertar a nadie pero me da sentimiento que me da frió y ni me puedo tapar jajaja
204,de verdad hoy no quiero existir
205,no quiero vivir más en esta ciudad de mierda
206,me estoy ahogando hahahhaha
207,me estoy ahogando y no quiero salir
208,asi es la vida sin metas no tiene sentido espero de todo corazón que lo encuentres y que sean felices comiendo perdices
209,siento que no valgo nada siento que todo lo que hago e hice nunca sirvió ni va a servir
210,no estoy listo para ver morir a flash y arrow
211,esque no tiene sentido pero como nada en la vida
212,joder me estoy ahogando
213,no soporto más lpm
214,en sentido médico no existe el concepto de vida no se desarrolla vida la tiene cuando dale del ú
215,ln no vale la pena seguir viviendo si así va a ser la vida
216,no soporto más este clima del orto
217,dormir y desear nunca más despertar
218,si claro me odio a mi mismo soy un rollo gollum no
219,no puedo creer que nunca voy a vivir el sweetener tour la vida no tiene sentido
220,siento que no valgo una mierda que todos pueden pasarme x encima y ya no puedo hacer nada porque es posta no valgo una mier
221,está bien no sentirte bien a veces todos atravesamos momentos donde parece que la vida no tiene sentido y que es
222,m me me q me qu me qui me quie me quier me quiero me quiero d me quiero do me quiero dor me quiero dorm me quiero d
223,no me quiero levantar nunca de esta cama quiero desaparecer de la faz
224,no quiero trabajar hoy no quiero existir kaigue
225,saltos no quiero estar aquí
226,im so fcking tired ya no quiero existir
227,ahora mi vida sin fortnite no tiene sentido
228,que me estoy ahogando jajajajajajajajajajajaja
229,queriéndome matar
230,rb no quiero estar mas aqui
231,que ansiedad quiero desaparecer
232,desde que inst sacó la actividad ya la vida del chusma no tiene sentido
233,perdón es que me odio a mi mismo
234,necesito dormir y no despertar nunca más
235,cierra la cuenta por favor no tiene sentido tu vida
236,matemos juntos ya no tiene sentido la vida xd
237,odio a la gente muy pelotuda me odio a mi mismo
238,me desperté y quiero decirle feliz cumpleaños al gordix culebras pero no lo quiero despertar y después me voy a que
239,me estoy ahogando daajjajaja jesuus
240,que increíble que viva sintiendo que no valgo nada
241,no quiero estar mas aqui
242,quiero desaparecer nomás
243,me estoy ahogando en birra corrrrrta
244,literalmente me estoy ahogando en chela y me parece perfecto
245,ya no quiero vivir
246,solo quiero llorar dormir y no despertar nunca más
247,me estoy ahogando de diferentes formas
248,nunca estás listo para vivir realmente hasta que estás listo para morir y nunca estás listo para morir hasta que hayas r
249,ay wey solo quiero dormir y ya nunca más en la vida despertar
250,listo para morir xd
251,me quiero morir lpm jaja
252,no mames no me quiero despertar
253,hoy es de esos días de no me molesten más sólo quiero dormir
254,chill me estoy ahogando
255,unas ganas de dormir y no despertar nunca más
256,unas ganas de dormir y no despertar nunca mas
257,same mi vida no tiene sentido
258,ya no quiero existir más
259,y creo que tiene mucho que ver con que la sociedad perdió el sentido del sacrificio no entiende que en la vida se
260,dios me quiero morir me necanga guapisimos disoss
261,me estoy ahogando con este hilo
262,ya no quiero existir por hoy
263,odio mi puta vida
264,yo ya estoy pensando en el suicidio colectivo
265,quiero desaparecer je
266,no planeo matarme mucho antes de eso
267,a la pija la vida no tiene sentido si no existen riesgos
268,me tengo que despertar y no me puedo dormir quiero morir
269,si omg no gana este reality show patetico la vida ya no tiene sentido
270,diiiiooooos deja de hacerme daño lpm
271,me estoy ahogando en fernet y me parece perfecto
272,deja de hacerme daño jeon jungkook
273,mi vida ya no tiene sentido
274,rt me quiero morir
275,de suicidarme
276,estoy x suicidarme
277,rachel sube foto de todos y no etiqueta a chandler si chandler no tiene instagram que sentido tiene la vida
278,la vida no tiene sentido la mayoría del tiempo qué flojera existir
279,quiero llorar me estoy ahogando aaaaghhhhhhh
280,dios me quiero desaparecer
281,me quiero desaparecer irme de acá
282,hoy es uno de esos días en los que no le encuentro el sentido a nada y solo quiero hacerme bolita y desaparecer
283,hoy no quiero despertar
284,honestly quiero desaparecer
285,que ganas de suicidarme pero ni para eso sirvo porque me da miedo
286,no estoy listo para morir
287,quiero desaparecer de todo esto no doy más
288,estoy cansado de estar solo
289,que ganas de dormir y no despertar nunca más
290,hoy no valgo para nada
291,nadie está listo para morir honestamente
292,me pongo a estudiar ahora me odio a mi mismo
293,odio con mi vida
294,no quiero estar aquí más
295,rt quiero desaparecer
296,siento que muero me estoy ahogando sin tu amor
297,la vida no tiene sentido solo vivo para odiar a mi reflejo
298,no me quiero levantar de hecho no me queria despertar pero mirenme ni mi cuerpo me obedece
299,aveces hasta me odio a mi mismo
300,me odio a mi mismo
301,no me quiero secar el pelo para no despertar a mis padres ya veo que mañana no mejoro d la fiebre
302,me estoy ahogando jajjajajajjajajajjajajajajajjajajajaj
303,se viene singularity estoy listo para morir
304,que día de mierda quiero desaparecer
305,situación de mierda que no quiero volver a vivir nunca más en mi vida
306,tengo la regla y me quiero morir
307,y mientras yo ya pensando en el suicidio
308,no quiero existir más y es enserio
309,solo quiero rendirme
310,quiero desaparecer de la vida de las personas que me rodean si lo único q hago es daño
311,me quiero dormir y no despertar en muuuucho tiempo
312,quiero dormir y nunca más despertar
313,me estoy ahogando eres una cabrona
314,hola me quiero morir chao
315,ya listo para salir en maneras de morir
316,estoy pensando en el suicidio seriamente e
317,se nos olvida que no es la vida la que tiene que evangelizar sino que es la propia vida la que nos da esa misión
318,es que me quiero morir y no existir mas
319,me estoy ahogando sola
320,me volvió a pasar mi mismo jajsjjaj odio cuando pasa eso
321,vale la pena seguir viviendo vale la pena ir horas a sufrir por que me ven como el malo por que son asi es que no en
322,quiero morir
323,la vdd es q me quiero morir
324,embeses la vida no tiene sentido
325,poo cansado de estar solo
