frase,tweet_clean,suicidio
cansado de estar solo,hay veces que vas a estar súper triste cansado de todo derrotado y sin ganas de hacer nada quieres llorar estar solo,0
cansado de estar solo,que cansado de estar solo precisaria esa persona que se que puedo contar con ella tanto para los malos como buenos m,0
cansado de estar solo,estoy harto de todo y todos solo quiero estar solo no quiero saber ni del baile ni del carnaval ni de la escuel,0
cansado de estar solo,tener ansiedad y depresión es estar asustado y cansado al mismo tiempo es el miedo al fracaso pero no hay necesidad de ser p,0
cansado de estar solo,este pibe me puso q estaba cansado de estar solo y yo le respondí que la pasaría bien en soledad si tuviera libros,0
cansado de estar solo,estoy cansado de estar soloquiero conocer a alguien que me vuele la cabeza y que sea buena persona,0
cansado de estar solo,cuando en medio de su día tan ocupado y cansado se toma el tiempo de pensar en mi para hacerme algún detallito que,0
cansado de estar solo,louis espero no estar pidiendo mucho solo quiero ser amado estoy cansado de ser resistente solo quiero ser amado por,1
cansado de estar solo,mi amor mi vida mi gran deseo es de despertar un día cansado exhausto pero feliz de estar a tu la,0
cansado de estar solo,cierto muy bien marín larroña solo se limitó a evadir y a atacar sin bases nunca admitió su posición de entr,0
cansado de estar solo,cansado de estar solo ahora me demuestran un poquito y corto quien me entiende no,0
cansado de estar solo,el que hizo el video seguro nunca se subió a un avión en efecto es estresante cansado madrugar c,0
cansado de estar solo,cuando te beso apenas estoy besando a lo que quisiera que hubiese sido porque estás muerto muerto y yo estoy c,0
cansado de estar solo,esta mas que rico le gustaba bastante agregado a su lista comida favorita pasteles de yuma l,0
cansado de estar solo,agencia de viajes la conexión cósmica a la felicidad ajena cansado de estar soltero sal conmigo y consigue al,0
cansado de estar solo,yo cuando invito a alguien a quedarse en mi casa pq siempre sacan excusas y ya estoy cansado de estar solo,0
cansado de estar solo,día no sé cual de estar solo ya estoy cansado a veces no sé dónde hallar ánimo,0
cansado de estar solo,estoy super cansado cansado de la gente cansado de los estudios cansado de sonreír cansado de estar mal cansa,1
cansado de estar solo,estoy cansado de estar cansado estoy cansado de vivir verbalizando todo lo que me parece mal de expresar todo lo,0
cansado de estar solo,tú me arreglas la vida mi amor las semanas podrán ser difíciles pero aquí siempre voy a est,0
cansado de estar solo,me cansado de whatsapp de insta solo me gusta hablar y conocer en persona y estar todo el día en twitter,0
cansado de estar solo,pues que se las partan si así te sientes mejor lmao ni siquiera he visto el vídeo solo estoy cansado d,0
cansado de estar solo,para mi el truco fue dejar de tomar excitantes del sistema nerviosocafé té pre,0
cansado de estar solo,vas a estar bien sólo confía en mí estoy cansado de que os pasen cosas malas por mi culpa en esp,0
cansado de estar solo,lt sin importar cuántas veces tuviera que repetirlo y no decir nada mas insistió en que fuera a dorm,0
dormir y nunca mas despertar,que mas lindo que despertar acurrucada a mi hija lo peor que dije que nunca la meteria a dormir en mi cama iba a,0
dormir y nunca mas despertar,dormir y desear nunca más despertar,1
dormir y nunca mas despertar,ojalá dormir y nunca mas despertar,1
dormir y nunca mas despertar,así es nunca más nos tragamos y cerquita de dios en la oscuridad olvídate de mi sin precaución salgamos de aquí o te vo,0
dormir y nunca mas despertar,me cansé de todo no tengo ganas ni de ir al baño quiero dormir y no despertar nunca más lpm,1
dormir y nunca mas despertar,bueno la puta madre no le hablo más a nadie en mi vida me voy a dormir y espero no despertar nunca jamás gusbay,1
dormir y nunca mas despertar,se siente horrible sentirse sola la deprecion es horrible quiero solo dormir y no despertar nunca esta maldit,1
dormir y nunca mas despertar,recién cuando sale el sol puedo dormir es el momento mas lindo del dia cuando por fin mi mente se apaga y mi cuer,0
dormir y nunca mas despertar,quisiera dormir y no despertar nunca más,1
dormir y nunca mas despertar,esa cara de necesito dormir y nunca más despertar,1
dormir y nunca mas despertar,microcumgeneral bestia tenía más libros de los que nunca llegó a leer bella todo el tiempo del mundo aprendió,0
dormir y nunca mas despertar,bueno gente me voy a dormir y espero no despertar nunca mas después de ver al melo de modelo,0
dormir y nunca mas despertar,solo quiero llorar dormir y no despertar nunca más,1
dormir y nunca mas despertar,unas ganas de dormir y no despertar nunca más,1
dormir y nunca mas despertar,bueno termine la tarea de literatura y ahora solo quiero dormir para no despertar nunca más jaja,0
dormir y nunca mas despertar,definitivamente no es mi día una mal tras otra me voy a dormir la siesta y deseo no despertar nunca más,1
dormir y nunca mas despertar,es una sensación extraña me da miedo dormir hace poco tuve un sueño de esos en los que nonpuedo salir y me daba m,0
dormir y nunca mas despertar,man un sueñito d los q queres dormir y nunca mas despertar,0
dormir y nunca mas despertar,bast unas ganas de dormir y no despertar nunca mas,1
dormir y nunca mas despertar,aveces deseo dormir y ya no despertar nunca más,1
dormir y nunca mas despertar,dormir y nunca más despertar,1
dormir y nunca mas despertar,mí único deseo es acostarme a dormir y no despertar nunca mas,1
dormir y nunca mas despertar,deseo tanto acostarme a dormir y nunca mas despertar,1
dormir y nunca mas despertar,que ganas de dormir y no despertar nunca mas,1
dormir y nunca mas despertar,no hay nada es perfecto mi fantasía es dormir y no despertar nunca más,1
hacerme daño,como te haga daño por no hacerme cuando yo voy a tu casa,0
hacerme daño,hacerme saber que prefiere otra cosa a que yo sea quien soy hoy tengo años y aunque todavía no aceptan quien yo,0
hacerme daño,bingo querido aunque no yo exactamente si no te ha preguntado es que no se ha enfadado contigo u,0
hacerme daño,aunque nunca les había hecho daño era un blanco fácil existir fue todo cuanto hice y ser más vu,1
hacerme daño,tengo tanto amor hacia mi mismo y el autoestima por el cielo que si se te ocurre querer hacerme daño te vas a arrepentir,0
hacerme daño,por favor tumblr punto com deja de hacerme daño te lo suplico itchaptertwo,0
hacerme daño,yo ya no lo voy a intentar más he echo todo lo que he podido que luego te quejes de que no hablamos te lo tendrás,0
hacerme daño,ella es la única que podría hacerme daño,0
hacerme daño,cómo puedes estar tan tranquilo después de hacerme tanto daño,0
hacerme daño,siempre quieres hacerme daño,0
hacerme daño,son muy pocas las personas que tienen el poder de hacerme daño,0
hacerme daño,gracias por hacerme tanto daño,0
hacerme daño,como me mama hacerme daño a mi misma,1
hacerme daño,tal vez fue la primera vez que me decidí a hacerme daño tal vez fue la primera vez que me dañaste,0
hacerme daño,mira que yo de niña hacía todo tipo de tonterías pero nunca se me ocurrió hacerme daño a mí misma mi,1
hacerme daño,q ganas de hacerme daño,1
hacerme daño,como diría nadie me puede hacerme más daño que yo,0
hacerme daño,hago mucho esfuerzo en ser mejor cada día para mi voy a terapias como mejor me cuido mucho pero mis papás siemp,1
la vida es muy dura,la vida sin mascotas es muy dura,0
la vida es muy dura,aunque la vida adulta puede ser dura algo muy bonito de crecer es darte cuenta del valor de las cosas y el apreciarlas,0
la vida es muy dura,deberías bloquear todos los malos comentarios la vida ya es muy dura y pesada para que soportes a esa,0
la vida es muy dura,pregunta por lo que llevamos oído del testimonio de maite sois capaces de entenderla entendéis ese distanci,0
la vida es muy dura,a veces la vida es tan dura y llena de obstáculos que se hace muy difil llevarla bien creo que sólo se consigue con mucha positividad,0
la vida es muy dura,la salud mental es absolutamente importante tratarla en nuestro país podríamos evitar,0
la vida es muy dura,actuemos qué vas a hacer ah eso en el lenguaje del cd todos sabemos lo que significa y no está de,0
la vida es muy dura,la vida en catalunya es muy dura,0
la vida es muy dura,que ganas de ser fit pero la vida es muy dura gente,0
la vida es muy dura,la vida de twittero es muy dura,0
la vida es muy dura,cuando sientan que se están deprimiendo piensen en algo que les apasione y concéntrense en eso la vida es muy dura,0
la vida es muy dura,gracias chulo la vida de no tener culo es muy dura,0
la vida es muy dura,no te conozco pero te juro que me emociona mucho por que sé que lo que pasaron es una muy dura prue,0
la vida no tiene sentido,últimamente la vida no tiene sentido,1
la vida no tiene sentido,mi madre ha visto la noticia de que eliminan el apartado siguiendo en instagram y lo primero que ha hecho ha sido,0
la vida no tiene sentido,hace más de meses no manejaba moto y hace más de meses no manejaba una de alto cilindraje la vida tiene sentido otra vez,0
la vida no tiene sentido,es que la vida no tiene sentido,1
la vida no tiene sentido,no ha hecho mas que aplicar el sentido comun a los grandes problemas que tiene este país sin demagogia sin promes,0
la vida no tiene sentido,en estos días de comienzos la verdad es que me he sentido muy feliz también no tiene idea de lo,0
la vida no tiene sentido,la vida no tiene sentido ahora,1
la vida no tiene sentido,en fin la vida es un asco y no tiene sentido,1
la vida no vale nada,nada en la vida vale tanto la pena como la vida misma estás de acuerdo con si respondes que sí os gust,0
la vida no vale nada,pida sr alcalde pero con nombre y apellido y si puede arróbelo moreno devuélvanos la tranquilidad n,0
la vida no vale nada,voy a jalar finance la vida no vale nada,0
la vida no vale nada,nada en la vida vale tanto la pena como la vida misma estás de acuerdo con si respondes que sí,0
la vida no vale nada,bien amiga pienso que si uno no sabe que quiere hacer con su vida no vale la pena hacer nada más si,0
la vida no vale nada,la vida es suele ser injusta querida pero nada dura para siempre verás que todo tu sacrificio en a,0
la vida no vale nada,éso es importante no podemos dejar todo como si no hubiera pasado nada la vida de un perro vale y,0
